TIMESTAMP,TEMPERATURE_temp1[degC],WINDSPEED_wspd1[m/s],WINDDIR_wdir1[deg],INSOLATION_irrad1[kW/m2],INSOLATION_irrad2[kW/m2],door1,door2,doorx1,doorx2,doorx3,doorx4,doorx5,doorx6,doorx7
79999,12.3,2.5,154,-0.004,-0.002,0,0,1,1,1,1,1,0,0
81000,12.3,2.7,155,-0.004,0,0,0,1,1,1,1,1,0,0
82000,12.3,2.7,155,-0.004,0,0,0,1,1,1,1,1,0,0
83000,12.3,2.7,162,-0.004,-0.002,0,0,1,1,1,1,1,0,0
83999,12.3,2.6,162,-0.004,0,0,0,1,1,1,1,1,0,0
84999,12.3,2.7,162,-0.004,-0.002,0,0,1,1,1,1,1,0,0
86000,12.3,2.5,169,-0.004,0,0,0,1,1,1,1,1,0,0
86999,12.3,2.4,169,-0.004,0,0,0,1,1,1,1,1,0,0
88000,12.3,2.2,167,-0.004,0,0,0,1,1,1,1,1,0,0
89000,12.3,2.2,166,-0.004,0,0,0,1,1,1,1,1,0,0
90000,12.3,2.3,150,-0.004,0,0,0,1,1,1,1,1,0,0
90999,12.3,2.4,140,-0.004,0,0,0,1,1,1,1,1,0,0
92001,12.3,2.1,140,-0.004,0,0,0,1,1,1,1,1,0,0
92999,12.3,2,141,-0.004,0,0,0,1,1,1,1,1,0,0
94000,12.3,2.1,147,-0.004,0,0,0,1,1,1,1,1,0,0
95000,12.3,2.3,149,-0.004,0,0,0,1,1,1,1,1,0,0
96000,12.3,2.5,149,-0.004,0,0,0,1,1,1,1,1,0,0
96999,12.3,2.8,148,-0.004,0,0,0,1,1,1,1,1,0,0
98000,12.3,2.9,147,-0.004,0,0,0,1,1,1,1,1,0,0
99001,12.3,2.9,154,-0.004,0,0,0,1,1,1,1,1,0,0
100000,12.3,2.9,160,-0.004,0,0,0,1,1,1,1,1,0,0
101000,12.3,2.9,161,-0.004,0,0,0,1,1,1,1,1,0,0
102000,12.3,2.8,159,-0.004,0,0,0,1,1,1,1,1,0,0
103000,12.3,2.8,159,-0.004,0,0,0,1,1,1,1,1,0,0
104000,12.3,2.9,159,-0.004,0,0,0,1,1,1,1,1,0,0
104999,12.3,3.1,159,-0.004,0,0,0,1,1,1,1,1,0,0
105999,12.3,3.2,163,-0.004,0,0,0,1,1,1,1,1,0,0
106999,12.3,3.4,162,-0.004,0,0,0,1,1,1,1,1,0,0
108000,12.3,3,159,-0.004,0,0,0,1,1,1,1,0,1,1
108999,12.3,3.2,162,-0.004,0,0,0,1,1,1,1,0,1,1
110000,12.3,3.1,162,-0.004,0,0,0,1,1,1,1,0,1,1
110999,12.3,3,161,-0.004,0,0,0,1,1,1,1,0,1,1
111999,12.3,2.9,163,-0.004,0,0,0,1,1,1,1,0,1,1
112999,12.3,3,166,-0.004,0,0,0,1,1,1,1,0,1,1
113999,12.3,2.8,163,-0.004,0,0,0,1,1,1,1,0,1,1
115000,12.3,2.5,164,-0.004,0,0,0,1,1,1,1,0,1,1
116000,12.3,2.4,163,-0.004,0,0,0,1,1,1,1,0,1,1
117000,12.3,2.4,153,-0.004,0,0,0,1,1,1,1,0,1,1
117999,12.3,2.4,153,-0.004,0,0,0,1,1,1,1,0,1,1
118999,12.3,2.3,153,-0.004,0,0,0,1,1,1,1,0,1,1
119999,12.3,2.2,153,-0.004,0,0,0,1,1,1,1,0,1,1
121000,12.3,2.2,153,-0.004,0,0,0,1,1,1,1,0,1,1
122000,12.3,2.2,153,-0.004,-0.002,0,0,1,1,1,1,0,1,1
123000,12.3,2.4,153,-0.004,0,0,0,1,1,1,1,0,1,1
123999,12.3,2.2,153,-0.004,0,0,0,1,1,1,1,0,1,1
124999,12.3,2.2,154,-0.004,0,0,0,1,1,1,1,0,1,1
126000,12.3,2.3,154,-0.004,0,0,0,1,1,1,1,0,1,1
127000,12.3,2.3,155,-0.004,0,0,0,1,1,1,1,0,1,1
128000,12.3,2.5,161,-0.004,0,0,0,1,1,1,1,0,1,1
